product_id,size_id,price
403,3,51.52
403,4,51.52
403,5,51.52
403,6,51.52
403,7,51.52
403,8,51.52
404,1,41.32
404,2,41.32
404,3,41.32
404,4,41.32
404,5,41.32
404,6,41.32
404,7,41.32
404,8,41.32
405,1,22.42
405,2,22.42
405,3,22.42
405,4,22.42
405,5,22.42
405,6,22.42
405,7,22.42
405,8,22.42
406,1,35.98
406,2,35.98
406,3,35.98
406,4,35.98
406,5,35.98
406,6,35.98
406,7,35.98
406,8,35.98
407,15,29.98
407,16,29.98
407,17,29.98
407,18,29.98
407,19,29.98
408,15,24.98
408,16,24.98
408,17,24.98
408,18,24.98
408,19,24.98
409,1,49.98
409,2,49.98
409,3,49.98
409,4,49.98
409,5,49.98
409,6,49.98
409,7,49.98
409,8,49.98
410,1,37.98
410,2,37.98
410,3,37.98
410,4,37.98
410,5,37.98
410,6,37.98
410,7,37.98
410,8,37.98
410,10,37.98
410,10,37.98
411,15,65.26
411,16,65.26
411,17,65.26
411,18,65.26
411,19,65.26
412,1,29.98
412,2,29.98
412,3,29.98
412,4,29.98
412,5,29.98
412,6,29.98
412,7,29.98
412,8,29.98
413,1,22.42
413,2,22.42
413,3,22.42
413,4,22.42
413,5,22.42
413,6,22.42
413,7,22.42
413,8,22.42
413,9,22.42
414,1,73.98
414,2,73.98
414,3,73.98
414,4,73.98
414,5,73.98
414,6,73.98
414,7,73.98
414,8,73.98
415,1,28.98
415,2,28.98
415,3,28.98
415,4,28.98
415,5,28.98
415,6,28.98
415,7,28.98
415,8,28.98
416,15,43.95
416,16,43.95
416,17,43.95
416,18,43.95
416,19,43.95
418,2,33
418,3,33
418,4,33
418,5,33
418,6,33
419,2,7.34
419,3,7.34
419,4,7.34
419,5,7.34
419,6,7.34
419,7,7.34
419,8,7.34
419,9,7.34
419,10,7.34
420,2,6.08
420,3,6.08
420,4,6.08
420,5,6.08
420,6,6.08
420,7,6.08
420,8,6.08
420,9,6.08
420,10,6.08
421,2,6.82
421,3,6.82
421,4,6.82
421,5,6.82
421,6,6.82
421,7,6.82
421,8,6.82
421,9,6.82
421,10,6.82
422,15,24.42
422,16,24.42
422,17,24.42
422,18,24.42
422,19,24.42
423,15,28.98
423,16,28.98
423,17,28.98
423,18,28.98
423,19,28.98
424,15,26.98
424,16,26.98
424,17,26.98
424,18,26.98
424,19,26.98
425,15,29.98
425,16,29.98
425,17,29.98
425,18,29.98
425,19,29.98
426,15,22.98
426,16,22.98
426,17,22.98
426,18,22.98
426,19,22.98
427,15,65.26
427,16,65.26
427,17,65.26
427,18,65.26
427,19,65.26
428,15,15.98
428,16,15.98
428,17,15.98
428,18,15.98
428,19,15.98
429,15,23.98
429,16,23.98
429,17,23.98
429,18,23.98
429,19,23.98
430,15,30.98
430,16,30.98
430,17,30.98
430,18,30.98
430,19,30.98
431,15,33.98
431,16,33.98
431,17,33.98
431,18,33.98
431,19,33.98
432,15,34.98
432,16,34.98
432,17,34.98
432,18,34.98
432,19,34.98
433,1,12.98
433,2,12.98
433,3,12.98
433,4,12.98
433,5,12.98
434,15,26.98
434,16,26.98
434,17,26.98
434,18,26.98
434,19,26.98
435,15,30.54
435,16,30.54
435,17,30.54
435,18,30.54
435,19,30.54
436,15,21.98
436,16,21.98
436,17,21.98
436,18,21.98
436,19,21.98
437,15,22.38
437,16,22.38
437,17,22.38
437,18,22.38
437,19,22.38
438,15,9.98
438,16,9.98
438,17,9.98
438,18,9.98
438,19,9.98
439,15,19.98
439,16,19.98
439,17,19.98
439,18,19.98
439,19,19.98
440,15,25.98
440,16,25.98
440,17,25.98
440,18,25.98
440,19,25.98
441,15,17.18
441,16,17.18
441,17,17.18
441,18,17.18
441,19,17.18
442,1,35.98
442,2,35.98
442,3,35.98
442,4,35.98
442,5,35.98
442,6,35.98
442,7,35.98
442,8,35.98
443,15,39.98
443,16,39.98
443,17,39.98
443,18,39.98
443,19,39.98
444,15,23.98
444,16,23.98
444,17,23.98
444,18,23.98
444,19,23.98
